Date,Open,High,Low,Close,Adj Close,Volume
2013-03-15,12.700000,12.700000,12.700000,12.700000,6.528617,0
2013-03-18,12.640000,12.640000,12.640000,12.640000,6.497772,0
2013-03-19,12.560000,12.560000,12.560000,12.560000,6.456647,0
2013-03-20,12.700000,12.700000,12.700000,12.700000,6.528617,0
2013-03-21,12.570000,12.570000,12.570000,12.570000,6.461787,0
2013-03-22,12.620000,12.620000,12.620000,12.620000,6.487491,0
2013-03-25,12.590000,12.590000,12.590000,12.590000,6.472068,0
2013-03-26,12.660000,12.660000,12.660000,12.660000,6.508054,0
2013-03-27,12.670000,12.670000,12.670000,12.670000,6.513194,0
2013-03-28,12.740000,12.740000,12.740000,12.740000,6.549179,0
2013-04-01,12.600000,12.600000,12.600000,12.600000,6.477210,0
2013-04-02,12.620000,12.620000,12.620000,12.620000,6.487491,0
2013-04-03,12.430000,12.430000,12.430000,12.430000,6.389819,0
2013-04-04,12.470000,12.470000,12.470000,12.470000,6.410382,0
2013-04-05,12.440000,12.440000,12.440000,12.440000,6.394959,0
2013-04-08,12.550000,12.550000,12.550000,12.550000,6.451507,0
2013-04-09,12.560000,12.560000,12.560000,12.560000,6.456647,0
2013-04-10,12.750000,12.750000,12.750000,12.750000,6.554319,0
2013-04-11,12.810000,12.810000,12.810000,12.810000,6.585164,0
2013-04-12,12.780000,12.780000,12.780000,12.780000,6.569741,0
2013-04-15,12.400000,12.400000,12.400000,12.400000,6.374398,0
2013-04-16,12.600000,12.600000,12.600000,12.600000,6.477210,0
2013-04-17,12.410000,12.410000,12.410000,12.410000,6.379538,0
2013-04-18,12.310000,12.310000,12.310000,12.310000,6.328131,0
2013-04-19,12.400000,12.400000,12.400000,12.400000,6.374398,0
2013-04-22,12.430000,12.430000,12.430000,12.430000,6.389819,0
2013-04-23,12.580000,12.580000,12.580000,12.580000,6.466928,0
2013-04-24,12.570000,12.570000,12.570000,12.570000,6.461787,0
2013-04-25,12.690000,12.690000,12.690000,12.690000,6.523476,0
2013-04-26,12.640000,12.640000,12.640000,12.640000,6.497772,0
2013-04-29,12.720000,12.720000,12.720000,12.720000,6.538898,0
2013-04-30,12.780000,12.780000,12.780000,12.780000,6.569741,0
2013-05-01,12.600000,12.600000,12.600000,12.600000,6.477210,0
2013-05-02,12.710000,12.710000,12.710000,12.710000,6.533757,0
2013-05-03,12.850000,12.850000,12.850000,12.850000,6.605725,0
2013-05-06,12.900000,12.900000,12.900000,12.900000,6.631429,0
2013-05-07,12.970000,12.970000,12.970000,12.970000,6.667414,0
2013-05-08,13.050000,13.050000,13.050000,13.050000,6.708538,0
2013-05-09,13.050000,13.050000,13.050000,13.050000,6.708538,0
2013-05-10,13.180000,13.180000,13.180000,13.180000,6.775367,0
2013-05-13,13.140000,13.140000,13.140000,13.140000,6.754804,0
2013-05-14,13.310000,13.310000,13.310000,13.310000,6.842196,0
2013-05-15,13.340000,13.340000,13.340000,13.340000,6.857618,0
2013-05-16,13.260000,13.260000,13.260000,13.260000,6.816492,0
2013-05-17,13.360000,13.360000,13.360000,13.360000,6.867898,0
2013-05-20,13.330000,13.330000,13.330000,13.330000,6.852478,0
2013-05-21,13.360000,13.360000,13.360000,13.360000,6.867898,0
2013-05-22,13.140000,13.140000,13.140000,13.140000,6.754804,0
2013-05-23,13.140000,13.140000,13.140000,13.140000,6.754804,0
2013-05-24,13.080000,13.080000,13.080000,13.080000,6.723960,0
2013-05-28,13.210000,13.210000,13.210000,13.210000,6.790789,0
2013-05-29,13.100000,13.100000,13.100000,13.100000,6.734241,0
2013-05-30,13.200000,13.200000,13.200000,13.200000,6.785648,0
2013-05-31,13.070000,13.070000,13.070000,13.070000,6.718820,0
2013-06-03,13.020000,13.020000,13.020000,13.020000,6.693117,0
2013-06-04,12.930000,12.930000,12.930000,12.930000,6.646851,0
2013-06-05,12.740000,12.740000,12.740000,12.740000,6.549179,0
2013-06-06,12.900000,12.900000,12.900000,12.900000,6.631429,0
2013-06-07,13.100000,13.100000,13.100000,13.100000,6.734241,0
2013-06-10,13.070000,13.070000,13.070000,13.070000,6.718820,0
2013-06-11,12.960000,12.960000,12.960000,12.960000,6.662273,0
2013-06-12,12.830000,12.830000,12.830000,12.830000,6.595444,0
2013-06-13,13.040000,13.040000,13.040000,13.040000,6.703398,0
2013-06-14,12.990000,12.990000,12.990000,12.990000,6.677694,0
2013-06-17,13.090000,13.090000,13.090000,13.090000,6.729102,0
2013-06-18,13.220000,13.220000,13.220000,13.220000,6.795929,0
2013-06-19,13.070000,13.070000,13.070000,13.070000,6.718820,0
2013-06-20,12.730000,12.730000,12.730000,12.730000,6.544037,0
2013-06-21,12.700000,12.700000,12.700000,12.700000,6.528617,0
2013-06-24,12.590000,12.590000,12.590000,12.590000,6.472068,0
2013-06-25,12.720000,12.720000,12.720000,12.720000,6.538898,0
2013-06-26,12.850000,12.850000,12.850000,12.850000,6.605725,0
2013-06-27,13.020000,13.020000,13.020000,13.020000,6.693117,0
2013-06-28,13.000000,13.000000,13.000000,13.000000,6.682835,0
2013-07-01,13.160000,13.160000,13.160000,13.160000,6.765085,0
2013-07-02,13.130000,13.130000,13.130000,13.130000,6.749663,0
2013-07-03,13.150000,13.150000,13.150000,13.150000,6.759945,0
2013-07-05,13.320000,13.320000,13.320000,13.320000,6.847336,0
2013-07-08,13.350000,13.350000,13.350000,13.350000,6.862757,0
2013-07-09,13.420000,13.420000,13.420000,13.420000,6.898741,0
2013-07-10,13.460000,13.460000,13.460000,13.460000,6.919305,0
2013-07-11,13.630000,13.630000,13.630000,13.630000,7.006695,0
2013-07-12,13.700000,13.700000,13.700000,13.700000,7.042679,0
2013-07-15,13.680000,13.680000,13.680000,13.680000,7.032399,0
2013-07-16,13.580000,13.580000,13.580000,13.580000,6.980993,0
2013-07-17,13.610000,13.610000,13.610000,13.610000,6.996415,0
2013-07-18,13.700000,13.700000,13.700000,13.700000,7.042679,0
2013-07-19,13.710000,13.710000,13.710000,13.710000,7.047821,0
2013-07-22,13.730000,13.730000,13.730000,13.730000,7.058102,0
2013-07-23,13.680000,13.680000,13.680000,13.680000,7.032399,0
2013-07-24,13.630000,13.630000,13.630000,13.630000,7.006695,0
2013-07-25,13.730000,13.730000,13.730000,13.730000,7.058102,0
2013-07-26,13.690000,13.690000,13.690000,13.690000,7.037540,0
2013-07-29,13.610000,13.610000,13.610000,13.610000,6.996415,0
2013-07-30,13.700000,13.700000,13.700000,13.700000,7.042679,0
2013-07-31,13.770000,13.770000,13.770000,13.770000,7.078665,0
2013-08-01,14.060000,14.060000,14.060000,14.060000,7.227743,0
2013-08-02,14.060000,14.060000,14.060000,14.060000,7.227743,0
2013-08-05,14.080000,14.080000,14.080000,14.080000,7.238025,0
2013-08-06,13.970000,13.970000,13.970000,13.970000,7.181479,0
2013-08-07,13.850000,13.850000,13.850000,13.850000,7.119790,0
2013-08-08,13.910000,13.910000,13.910000,13.910000,7.150633,0
2013-08-09,13.880000,13.880000,13.880000,13.880000,7.135212,0
2013-08-12,13.900000,13.900000,13.900000,13.900000,7.145494,0
2013-08-13,13.930000,13.930000,13.930000,13.930000,7.160915,0
2013-08-14,13.810000,13.810000,13.810000,13.810000,7.099228,0
2013-08-15,13.560000,13.560000,13.560000,13.560000,6.970711,0
2013-08-16,13.530000,13.530000,13.530000,13.530000,6.955290,0
2013-08-19,13.490000,13.490000,13.490000,13.490000,6.934726,0
